longitude,latitude,weight
88.435715,22.595484,4000
88.327835,22.488018,4930.337
88.42005,22.628452,5992.0635
88.339935,22.495138,8171.4287
88.34015,22.501444,7649.358
88.43966,22.698593,2900.589
88.327835,22.488018,4930.5083
88.34015,22.501444,7649.358
88.46517,22.638279,4100
88.39868,22.493317,6991.3213
88.39014,22.616138,6924.4185
88.382576,22.54811,6482.4653
88.326035,22.481918,4500
88.43966,22.698593,2900.589
88.23477,22.623169,2699.8706
88.42005,22.628452,5921.895
88.448296,22.61784,3989.5498
88.45946,22.612478,19869.564
88.39839,22.413591,3000
88.44902,22.697584,2849.3723
